user_id,book_id,rating
1,445,3
1,1770,3
1,133,5
1,111,2
1,220,4
1,1004,2
1,1438,4
1,865,4
1,533,3
1,105,2
1,77,3
1,294,3
1,1477,3
1,486,3
1,454,3
1,191,4
1,926,3
1,1584,3
1,771,3
1,796,3
1,661,3
1,1690,4
1,76,2
1,414,2
1,168,4
1,225,4
1,264,4
1,483,4
1,915,4
1,73,3
1,46,4
1,132,3
1,1230,2
1,1363,3
1,94,4
1,74,4
1,1052,3
1,326,3
1,424,2
1,733,4
1,910,3
1,718,3
1,959,4
1,29,4
1,399,4
1,161,3
1,207,2
1,535,3
1,129,4
1,131,3
1,128,3
1,504,4
1,439,3
1,224,2
1,86,4
1,694,4
1,203,4
1,297,3
1,122,4
1,397,3
1,510,2
1,1621,3
1,243,4
1,167,4
1,594,3
1,1574,4
1,176,3
1,514,2
1,647,3
1,377,3
1,676,3
1,1129,3
1,267,3
1,48,3
1,538,4
1,1896,2
1,258,2
1,182,3
1,485,2
1,180,3
1,820,2
1,61,4
1,223,2
1,449,3
1,946,3
1,520,3
1,1297,3
1,1571,2
1,64,3
1,78,5
1,879,3
1,965,3
1,45,4
1,99,3
1,200,3
1,453,3
1,1716,3
1,57,3
1,1745,2
1,42,4
1,1289,2
1,284,3
1,259,4
1,832,4
1,239,2
1,1816,3
1,370,2
1,1861,3
1,501,4
2,91,2
2,344,4
2,47,2
2,31,4
2,88,2
2,654,4
2,54,3
2,247,4
2,170,5
2,30,4
2,21,4
2,507,3
2,1325,3
2,243,4
2,1041,3
2,78,4
2,142,5
2,1182,4
2,61,3
2,124,4
2,333,2
2,664,3
2,20,2
2,189,4
2,66,4
2,321,5
2,158,4
2,374,2
2,504,4
2,17,2
2,6,5
2,46,5
2,667,4
2,757,3
2,26,5
2,18,5
2,1109,3
2,258,3
2,191,5
2,111,5
2,911,2
2,899,3
2,433,4
2,1,4
2,516,4
2,882,2
2,50,3
2,85,3
2,396,3
2,40,5
2,45,4
2,38,3
2,250,3
2,195,5
2,90,3
2,25,5
2,348,3
2,84,4
2,127,4
2,262,3
2,36,4
2,160,2
2,252,5
2,426,4
2,101,3
2,493,3
2,1505,4
2,69,4
2,279,3
2,329,3
2,145,2
2,224,3
2,234,3
2,121,1
2,9,4
2,767,4
2,326,4
2,105,3
2,77,3
2,238,4
2,72,4
2,632,2
2,14,4
2,89,5
2,196,5
2,1547,2
2,256,4
2,748,4
2,802,4
2,306,2
2,16,2
2,23,4
2,446,3
2,615,3
2,4,4
2,27,5
2,82,5
2,221,4
2,702,1
2,13,4
2,399,3
2,363,4
2,3,4
2,736,4
2,122,3
2,109,5
2,409,4
2,98,4
2,425,3
2,143,3
3,531,3
3,1083,3
3,16,2
3,418,4
3,139,4
3,1873,3
3,753,2
3,39,4
3,1087,4
3,787,4
3,84,5
3,1755,4
3,41,4
3,1298,3
3,363,4
3,191,4
3,1078,4
3,1,4
3,1310,4
3,1721,4
3,721,5
3,345,3
3,1264,5
3,507,5
3,399,5
3,42,4
3,60,5
3,755,3
3,1619,4
3,123,4
3,733,5
3,116,4
3,271,5
3,516,3
3,1034,4
3,173,4
3,640,5
3,770,5
3,30,3
3,252,4
3,1592,4
3,746,4
3,158,4
3,466,3
3,1043,3
3,17,4
3,856,4
3,736,4
3,315,5
3,480,5
3,264,3
3,65,3
3,730,3
3,262,4
3,1059,3
3,20,5
3,371,3
3,1807,4
3,889,5
3,142,3
3,91,5
3,1233,5
3,1520,4
3,128,4
3,29,4
3,45,3
3,1036,4
3,12,3
3,79,2
3,283,3
3,1129,3
3,19,5
3,816,4
3,1420,5
3,1188,5
3,515,3
3,501,5
3,1690,2
3,453,5
3,998,3
3,630,4
3,1867,3
3,895,5
3,1870,3
3,359,4
3,590,4
3,469,4
3,1418,5
4,326,5
4,846,5
4,100,5
4,208,5
4,618,5
4,1830,5
4,466,5
4,1076,3
4,1763,4
4,25,5
4,81,5
4,168,5
4,53,5
4,779,4
4,917,5
4,1863,5
4,77,5
4,1810,5
4,24,5
4,1243,5
4,318,4
4,611,5
4,1236,4
4,860,5
4,315,5
4,10,5
4,266,5
4,156,4
4,608,5
4,1042,5
4,37,5
4,43,5
4,22,3
4,128,5
4,228,5
4,294,5
4,1036,5
4,469,4
4,760,4
4,359,5
4,4,5
4,243,5
4,91,5
4,151,5
4,70,4
4,74,5
4,1520,4
4,399,4
4,310,5
4,158,5
4,33,4
4,894,5
4,142,5
4,61,5
4,453,5
4,404,5
4,720,5
4,177,4
4,98,3
4,480,3
4,1681,4
4,679,5
4,19,5
4,114,5
4,418,5
4,1275,5
4,281,5
4,328,5
4,539,4
4,214,5
4,13,5
4,454,5
4,504,5
4,190,5
4,118,5
4,115,5
4,680,5
4,15,5
4,157,5
4,332,5
4,481,5
4,1233,4
4,1383,5
4,18,5
4,26,3
4,1525,5
4,8,4
4,42,5
4,134,4
4,352,5
4,1136,5
4,14,4
4,626,4
4,1511,5
4,1201,5
4,225,5
4,206,3
4,1536,5
4,169,5
4,707,5
4,270,5
4,1843,5
4,449,4
4,1621,5
4,573,5
4,154,5
5,179,3
5,130,3
5,46,5
5,98,3
5,1109,4
5,181,4
5,273,5
5,887,3
5,343,4
5,67,4
5,628,3
5,68,4
5,231,3
5,12,4
5,658,3
5,792,4
5,103,4
