user_id,book_id,rating
35,457,3
35,2943,3
35,137,5
35,114,2
35,225,4
35,1144,2
35,1843,4
35,941,4
35,554,3
35,108,2
35,79,3
35,301,3
35,1928,3
35,501,3
35,468,3
35,195,4
35,1024,3
35,2188,3
35,829,3
35,860,3
35,696,3
35,2524,4
35,78,2
35,426,2
35,172,4
35,230,4
35,270,4
35,498,4
35,1011,4
35,75,3
35,47,4
35,136,3
35,1457,2
35,1681,3
35,97,4
35,76,4
35,1210,3
35,335,3
35,436,2
35,779,4
35,1005,3
35,763,3
35,1073,4
35,29,4
35,410,4
35,165,3
35,212,2
35,557,3
35,133,4
35,135,3
35,131,3
35,520,4
35,451,3
35,229,2
35,89,4
35,733,4
35,208,4
35,304,3
35,125,4
35,407,3
35,527,2
35,2314,3
35,249,4
35,171,4
35,621,3
35,2147,4
35,180,3
35,531,2
35,682,3
35,386,3
35,712,3
35,1310,3
35,273,3
35,50,3
35,560,4
35,3767,2
35,264,2
35,186,3
35,500,2
35,184,3
35,887,2
35,63,4
35,228,2
35,461,3
35,1055,3
35,540,3
35,1565,3
35,2136,2
35,66,3
35,80,5
35,961,3
35,1084,3
35,46,4
35,102,3
35,205,3
35,467,3
35,2630,3
35,59,3
35,2809,2
35,42,4
35,1547,2
35,291,3
35,265,4
35,901,4
35,245,2
35,3197,3
35,379,2
35,3504,3
35,516,4
173,94,2
173,353,4
173,49,2
173,31,4
173,91,2
173,689,4
173,56,3
173,253,4
173,174,5
173,30,4
173,21,4
173,523,3
173,1610,3
173,249,4
173,1195,3
173,80,4
173,146,5
173,1385,4
173,63,3
173,127,4
173,342,2
173,699,3
173,20,2
173,193,4
173,68,4
173,329,5
173,162,4
173,383,2
173,520,4
173,17,2
173,6,5
173,47,5
173,702,4
173,813,3
173,26,5
173,18,5
173,1281,3
173,264,3
173,195,5
173,114,5
173,1007,2
173,993,3
173,445,4
173,1,4
173,534,4
173,968,2
173,52,3
173,88,3
173,405,3
173,40,5
173,46,4
173,38,3
173,256,3
173,199,5
173,93,3
173,25,5
173,357,3
173,87,4
173,130,4
173,268,3
173,36,4
173,164,2
173,258,5
173,438,4
173,104,3
173,508,3
173,1990,4
173,71,4
173,285,3
173,338,3
173,149,2
173,229,3
173,240,3
173,124,1
173,9,4
173,824,4
173,335,4
173,108,3
173,79,3
173,244,4
173,74,4
173,664,2
173,14,4
173,92,5
173,200,5
173,2076,2
173,262,4
173,801,4
173,867,4
173,313,2
173,16,2
173,23,4
173,458,3
173,646,3
173,4,4
173,27,5
173,85,5
173,226,4
173,745,1
173,13,4
173,410,3
173,372,4
173,3,4
173,782,4
173,125,3
173,112,5
173,421,4
173,101,4
173,437,3
173,147,3
178,551,3
178,1250,3
178,16,2
178,430,4
178,143,4
178,3585,3
178,807,2
178,39,4
178,1255,4
178,850,4
178,87,5
178,2875,4
178,41,4
178,1566,3
178,372,4
178,195,4
178,1242,4
178,1,4
178,1582,4
178,2643,4
178,766,5
178,354,3
178,1515,5
178,523,5
178,410,5
178,42,4
178,62,5
178,809,3
178,2304,4
178,126,4
178,779,5
178,119,4
178,277,5
178,534,3
178,1184,4
178,177,4
178,673,5
178,828,5
178,30,3
178,258,4
178,2204,4
178,795,4
178,162,4
178,480,3
178,1198,3
178,17,4
178,930,4
178,782,4
178,323,5
178,495,5
178,270,3
178,67,3
178,775,3
178,268,4
178,1220,3
178,20,5
178,380,3
178,3106,4
178,975,5
178,146,3
178,94,5
178,1462,5
178,2018,4
178,131,4
178,29,4
178,46,3
178,1187,4
178,12,3
178,81,2
178,290,3
178,1310,3
